epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
55: 55.969551282051285 56.08373397435897 56.21995192307692 / 75.10016025641026 74.74959935897436 74.86979166666667 / 88.61378479003906 88.56971740722656 88.58573913574219
56: 56.149839743589745 56.22596153846154 56.17988782051282 / 74.43910256410257 74.3389423076923 74.43910256410257 / 88.45753479003906 88.5096206665039 88.41346740722656
57: 56.18189102564103 56.35216346153846 56.20592948717949 / 73.3173076923077 73.85817307692308 72.91666666666667 / 88.3533706665039 88.349365234375 88.2852554321289
58: 56.38621794871795 56.41025641025641 56.40224358974359 / 73.87820512820512 74.1786858974359 74.63942307692308 / 88.33734130859375 88.28926849365234 88.31330108642578
59: 56.510416666666664 56.594551282051285 56.43028846153846 / 73.89823717948718 73.75801282051282 73.37740384615384 / 88.33734130859375 88.34535217285156 88.33333587646484
60: 56.62259615384615 56.55048076923077 56.47636217948718 / 74.8798076923077 74.00841346153847 74.2588141025641 / 88.22917175292969 88.24519348144531 88.2371826171875
61: 56.560496794871796 56.60657051282051 56.62660256410256 / 73.88822115384616 73.88822115384616 73.828125 / 88.14503479003906 88.00881958007812 88.1209945678711
62: 56.73076923076923 56.540464743589745 56.70673076923077 / 73.96834935897436 74.78966346153847 74.6895032051282 / 88.32933044433594 88.20513153076172 88.25320434570312
63: 56.618589743589745 56.59855769230769 56.67467948717949 / 73.67788461538461 73.52764423076923 73.8681891025641 / 88.14102935791016 88.05288696289062 88.14904022216797
64: 56.85697115384615 56.672676282051285 56.81490384615385 / 74.15865384615384 73.84815705128206 73.79807692307692 / 87.86859130859375 87.70032501220703 87.90064239501953
65: 56.89102564102564 56.85897435897436 56.89102564102564 / 73.97836538461539 74.46915064102564 74.67948717948718 / 87.82852935791016 87.99279022216797 87.79247283935547
66: 56.985176282051285 56.999198717948715 57.07532051282051 / 73.21714743589743 73.07692307692308 73.53766025641026 / 88.11298370361328 88.0809326171875 88.10897827148438
67: 56.94911858974359 56.89903846153846 56.93509615384615 / 73.32732371794872 73.37740384615384 73.44751602564102 / 87.8165054321289 87.9286880493164 87.93669891357422
68: 56.907051282051285 57.009214743589745 57.10536858974359 / 73.66786858974359 74.66947115384616 74.66947115384616 / 87.90865325927734 87.91266632080078 87.82852935791016
